attention,meditation,delta,theta,lowalpha,highalpha,lowbeta,highbeta,lowgamma,highgamma,state
40,61,2001196,45793,16416,21735,17807,19981,13766,5938,0
38,78,41185,4731,44603,9307,5976,4461,5277,1665,0
53,83,8867,18456,7905,6077,4685,8730,9777,2745,0
44,66,873689,323777,23786,8430,21022,16784,3095,5155,0
43,69,33536,14717,21582,4718,3716,7032,8071,2322,0
60,48,18020,7894,2056,6950,12905,9305,3363,6114,0
56,50,21969,23744,14357,5292,6148,8054,3742,3086,0
63,57,252223,117070,17082,17752,14263,16364,6714,2326,0
66,50,126840,22405,5652,8601,6872,9719,17350,3443,0
48,41,117021,119937,42613,15269,7163,16866,9435,4651,0
23,51,1689208,432450,105000,27109,20439,29385,15781,4375,0
40,51,27097,35716,5553,18460,8739,21928,5530,5122,0
40,41,67607,59536,3684,2923,752,4311,5130,1776,0
38,38,231175,272494,45385,15824,2973,13902,5216,2048,0
43,38,98193,17674,12982,4060,5732,7545,3772,1370,0
50,40,10832,2679,3442,962,3617,5452,1241,974,0
53,38,1336255,188445,8174,10222,10725,19942,8951,6206,0
60,37,101014,207248,34434,6760,14265,22138,18998,3300,0
30,27,93325,103698,11853,1653,2098,7715,2538,778,0
21,34,615949,622403,2778,20371,23491,34695,17044,4905,0
38,27,18082,31125,4435,11479,12779,27412,11392,3660,0
44,30,1595054,28131,24699,2202,10910,3527,3390,593,0
56,29,19500,14232,5839,2041,5803,9120,11432,2760,0
54,51,115884,19999,2907,7577,3351,1315,1533,389,0
47,57,15328,17670,6630,11542,18489,8362,9149,1615,0
60,47,3888,14615,2326,2308,6448,5823,6834,5052,0
48,51,8418,35132,14719,5092,3581,5627,7455,2297,0
51,24,9507,29294,2123,3549,9552,6221,8560,8674,1
44,56,393260,113113,18821,9255,8680,8420,3100,912,1
21,47,1577362,234442,25464,2958,6812,9030,12465,8641,1
13,24,17006,62247,950,3558,7532,3916,3086,1236,1
37,20,155076,28157,15593,9119,8014,41319,12336,11081,1
37,23,876674,131270,51816,8965,39560,10964,17205,8174,1
56,63,13844,14079,7530,19110,4257,7509,6552,6706,1
51,66,2703,11246,5774,7809,4643,11815,3406,2640,1
57,67,1755284,83111,27731,15680,14966,14497,7453,4475,1
75,60,6324,6986,995,3482,8887,8406,6839,1279,1
54,53,88536,2075,2399,1228,1771,855,397,314,0
88,43,15186,38646,4524,952,14341,14475,4950,1597,0
75,40,462048,66985,25094,21748,13668,10829,4590,2584,0
60,43,272546,31913,14720,16362,11334,4538,886,1129,0
43,51,109153,29894,22440,13872,20522,6428,7606,7379,0
37,80,63670,25907,73526,6938,7857,15848,10190,9481,0
50,81,83625,4718,8250,169,3994,5213,3390,1031,0
61,80,109123,59724,31736,25776,14123,28726,9979,2370,0
75,53,548313,82056,8678,5666,12572,6471,3661,3259,0
27,50,90469,15611,3220,4928,2597,3714,3811,1007,1
47,35,65772,30198,2277,998,1404,1386,985,845,1
37,53,44779,22440,22252,28355,9568,15005,15227,2761,1
38,44,33548,30360,3744,12267,8385,12466,12887,5551,1
44,51,188463,19760,11939,1817,6698,4083,2335,1214,1
63,53,96144,53820,1975,7984,10939,21424,8223,8815,1
57,37,24423,12151,1960,5636,14682,13240,15666,4360,1
70,35,7150,8520,3776,6268,5462,10756,9313,3845,1
56,43,744224,106070,17676,26747,9461,8574,14165,5895,1
34,37,84603,16516,2112,5238,7557,2608,18461,2830,0
17,41,748955,165400,3424,17702,9419,5693,6027,4553,0
10,50,975138,441586,341042,64255,48144,34078,57517,23946,0
43,40,263283,65073,6128,5771,10344,35369,9009,2710,0
61,48,25059,29234,8280,5265,9227,10991,14566,15238,0
61,37,379766,294627,51744,21661,28573,15932,10210,2823,0
56,50,78355,15788,16922,59546,9429,14612,7406,5116,0
35,69,843009,160284,13218,49038,12194,15048,3935,2663,0
51,83,158716,16610,33461,11605,10800,18953,6567,9219,0
16,47,962659,39957,13445,2531,1777,3453,584,154,1
40,56,110159,47419,7923,34712,9609,13450,14164,9035,1
35,56,389728,356870,46374,24354,13955,11939,9100,2887,1
30,64,65674,25826,105188,27271,33005,17172,14000,10777,1
35,69,15029,40694,41797,11413,19003,14049,12930,3074,1
51,54,7648,16164,1188,3147,8174,23910,10220,1966,1
70,69,19233,10886,39905,3578,7371,14574,10641,6241,1
66,41,297466,65138,1990,3355,8386,4534,2425,722,1
77,44,1525,5725,16428,6141,2732,14978,24267,2520,1
57,63,7112,13908,50344,16454,23840,27682,37121,11515,1
51,54,1101432,541748,26848,74843,82392,18809,30682,8539,1
34,35,77073,28489,2648,697,2584,1345,1080,423,1
35,27,20611,48833,1936,5761,7818,27265,6533,4777,1
29,16,166609,91155,10565,4500,2105,5750,2688,617,1
29,16,187331,48503,3627,3033,10559,2247,2484,959,1
17,37,30373,5108,9345,1672,3525,2548,1842,1346,1
34,44,70057,100358,9514,8469,5175,5265,1374,635,1
37,61,472811,18085,3921,17970,5834,2572,1905,880,1
53,61,28965,38383,12695,11004,11827,19673,18671,8839,1
54,51,326427,39982,5228,6085,3646,5922,2684,1658,1
74,51,47170,18898,12228,5606,5380,23518,14322,2391,1
50,43,1350621,82122,17054,14488,17131,7819,3625,1337,1
56,41,24457,13588,902,2428,1388,4599,1973,1705,1
41,43,670197,116105,10527,61127,26036,22711,16256,4107,1
87,37,14621,6555,2024,4482,7696,34685,4117,4735,1
70,30,188148,44321,4094,1930,2687,2784,926,803,1
34,34,30127,11121,2995,1872,1856,3670,1938,1156,1
54,27,38874,150255,43918,11546,3130,3355,1101,921,1
30,35,1454313,51773,9706,9761,7805,6099,1917,1796,1
41,34,117950,17733,389,3487,2586,4120,1843,1905,1
14,47,189794,55452,19260,15770,10650,3776,1349,1603,1
40,44,45020,14659,4653,5357,7715,11984,11681,3528,1
44,41,2820,7863,7532,1838,10548,10292,9408,1694,1
44,41,2820,7863,7532,1838,10548,10292,9408,1694,1
44,41,2820,7863,7532,1838,10548,10292,9408,1694,1
24,23,141193,68673,16966,3238,4800,2997,1826,652,1
81,53,1302383,1002565,155429,210913,71343,140303,67569,13305,1
41,56,2319792,194488,210925,52680,52555,31692,37055,11392,1
17,67,748961,278211,73499,10976,11473,17484,23404,5872,1
24,84,1083793,8488,16053,34278,21085,15071,22258,4587,1
34,64,578170,118452,19823,9087,9779,21370,8778,6486,1
41,54,687430,104376,40137,15965,7186,11525,5465,1408,1
54,56,239515,47188,6189,15470,7263,10311,8618,2239,1
51,41,137237,33144,3601,11055,4981,9133,4802,2471,1
53,51,78902,88874,44207,16514,10021,27371,10143,8895,1
53,51,78902,88874,44207,16514,10021,27371,10143,8895,1
70,24,1535959,263996,23016,8381,21299,28159,17853,12086,1
34,14,602539,559988,48050,20162,20692,20322,15170,5434,1
14,23,203242,188103,15087,8793,37707,15080,8118,6417,1
23,27,19273,53602,13574,27387,8494,18854,6138,5785,1
23,27,19273,53602,13574,27387,8494,18854,6138,5785,1
51,48,122372,10563,7567,1617,1930,3633,2927,1394,1
51,53,354546,148635,8015,17409,26146,12825,11275,14726,1
47,53,47481,16770,4356,9907,4180,4485,1799,1002,1
57,60,6579,15811,13887,21284,4128,15160,7995,5270,1
67,54,3901,10696,2726,8032,9850,9996,10326,5589,1
51,8,254280,84160,12711,30352,25411,22027,18527,27035,0
56,40,1947,13755,1390,8509,23039,9871,7329,6601,0
40,23,234233,144896,5376,6704,15591,5909,6522,1178,0
43,30,106738,168034,139189,92727,20195,51145,10635,17772,0
50,34,1011713,82397,20233,16013,11303,25586,46023,4692,0
61,48,648799,80412,14545,15389,15177,22960,42314,16282,0
53,23,909676,77590,4717,5547,4791,5190,7125,5421,0
69,24,10933,10072,11461,5218,11340,29334,21290,9674,0
41,44,107469,23399,3680,4435,2060,5384,8424,3112,1
54,26,241940,30222,2122,1124,3351,4007,1637,2382,1
70,27,83324,23572,9509,6877,4859,32622,14443,6880,1
70,35,49047,60661,57392,19011,21054,27356,9281,5678,1
60,43,769148,94158,67681,9911,15876,13798,14278,9426,1
57,48,301774,403321,24725,26575,8133,41803,13431,4635,1
38,38,22729,31066,8929,4862,5118,12539,3261,1710,1
54,26,43299,36783,7912,10068,13304,24376,15928,2782,1
70,48,13355,12325,18929,17236,11326,21718,11468,11204,1
97,44,6286,13472,6073,4745,11903,24046,5637,4486,1
37,66,62719,258039,53549,17412,27031,22503,32123,17593,0
41,70,32538,3603,1539,334,1601,1515,4256,711,0
64,61,20905,14979,4783,24085,23629,19253,9825,12958,0
63,40,230588,49424,7423,3738,4798,7789,4068,5824,0
67,44,224334,19978,21361,7670,30365,20742,16943,14962,0
61,44,612126,195335,34953,20812,9667,17469,21741,8044,0
47,44,1769567,468346,85682,162353,24951,56270,53644,10168,0
38,53,2760328,254348,79574,29151,39639,24255,22745,18261,0
14,29,463261,186863,7425,2270,2436,6061,8328,7070,0
27,35,11790,58289,8047,28881,13892,29862,18350,8088,0
56,54,8344,88232,18540,12596,24975,16308,6030,6550,1
38,50,38106,23939,10954,6289,4985,2351,1585,1454,1
37,50,53582,12175,5072,1868,2345,2922,5185,1271,1
41,56,38189,5714,1755,5659,2955,5078,1644,1861,1
47,48,194524,20313,5833,907,1612,2698,2106,1397,1
47,57,292244,39519,8882,11730,5348,4077,3051,2030,1
47,61,24885,7754,2311,3736,2067,1940,1557,587,1
43,57,6749,18012,8467,8411,12768,10524,6175,5930,1
53,66,22870,21982,15649,5503,3516,10453,3266,5652,1
53,64,59437,10512,12837,4169,7840,10814,5087,11133,1
78,40,7939,42484,9154,12571,6678,19641,10270,3295,1
51,64,51009,28194,4382,5655,8865,2776,1805,580,1
51,70,37035,12717,12921,22036,11923,7147,7812,6850,1
38,69,87789,20404,2449,3367,2180,1784,988,293,1
16,41,119272,97192,6958,2584,3316,2170,3396,704,1
7,41,92612,135649,15265,15466,3585,3808,4758,2694,1
24,56,118137,20623,57716,18462,11710,23150,5934,8657,1
60,53,164614,8648,6289,2323,4873,7178,3834,1984,1
60,35,483542,44429,8679,5605,3551,9892,3657,1418,1
43,27,354536,73697,21599,8843,16012,5741,4166,944,1
43,35,2056098,62222,15632,5448,10213,26057,10367,4415,1
40,35,281094,26539,4163,3614,2853,3923,2903,1745,1
35,23,34314,41460,1673,1804,1710,2344,2171,264,1
48,21,23769,38255,13792,5784,14366,16239,20009,5577,1
50,29,31976,34417,11302,23564,14694,24594,18060,4726,1
53,44,82624,32462,3707,34274,8675,11521,14706,5293,1
66,56,7782,40686,2545,10550,5325,12726,4606,6455,1
57,61,13765,31190,11063,8506,6561,12631,12123,3952,1
40,66,59441,18352,5798,12016,2110,3133,1447,1350,1
41,66,38246,23521,8129,10915,14542,12562,18072,3451,1
38,69,64700,36791,19868,3767,3278,2333,2371,1805,1
43,69,67177,27493,15396,6827,9925,12857,6073,5849,1
35,50,243946,66458,5271,5028,4189,2794,3621,2125,1
47,43,284649,86542,18337,14942,18071,19081,7860,4612,1
38,40,24935,8246,11530,13167,7058,13131,4797,5188,1
57,50,14962,16443,9777,2316,5503,9996,4363,3584,1
37,44,398180,18848,4840,4171,3258,1411,1399,1027,1
26,48,137973,44522,4716,5610,8472,5437,5359,1625,1
38,47,257782,11181,5609,4075,6697,2895,2430,1409,1
44,60,63123,5611,3932,2266,948,1675,926,309,1
41,38,336936,100215,8952,6309,13910,8692,9602,8035,1
47,44,596910,36869,12199,24169,15319,17736,18671,8475,1
54,37,21785,27330,9961,12364,13235,21038,35193,10727,1
43,67,1230078,78302,59770,23919,25354,9783,18301,6651,0
50,57,12093,44887,1510,27096,20589,20412,5943,6461,0
51,74,125368,21148,17177,26627,12753,16447,6280,9669,0
56,74,35360,9915,15687,22470,23918,10386,11586,9140,0
61,81,45808,7683,12118,14495,13856,17263,17418,8034,0
44,64,633882,114026,10815,16900,7481,6006,7276,2517,0
43,69,1137188,838916,123184,384969,39305,82056,82276,33470,0
29,57,1010517,325999,38507,77189,46911,20166,31935,39440,0
8,41,1464423,437783,50193,23853,17558,22840,20551,7518,0
37,64,2463453,115250,58706,36878,24952,24732,8224,2375,0
41,66,100532,16479,4763,6333,1814,2474,2941,2037,0
44,75,99505,25148,25270,12328,4356,9504,3817,3619,0
44,77,12177,7913,6705,38437,25383,7009,9490,6382,0
44,70,72096,68987,14367,16320,16605,7539,7548,1767,0
48,75,8664,34354,9097,11877,30712,15887,9872,10212,0
47,77,2500821,88007,108096,23953,4167,27410,19275,6709,0
35,57,152977,92801,18533,6856,7013,4229,4988,1980,0
38,54,121691,23084,2884,4612,2793,3189,8665,940,0
26,61,1577171,37756,25060,8361,30206,6052,6126,5691,0
16,56,1568858,112886,8294,11150,13440,11686,5304,5398,1
21,26,531647,484633,39435,25132,26629,38136,19648,20481,1
17,29,471355,49558,3132,8679,4305,3607,4120,2747,1
16,23,147452,178842,23234,5808,19018,10088,13906,6397,1
27,29,1911031,67432,53498,18672,17765,28958,37100,2960,1
27,48,3014621,68231,24505,34920,28526,9107,4153,2304,1
41,57,79380,50769,18511,16806,7335,20106,21412,2786,1
60,70,23160,24008,5414,18390,8074,15476,16760,5360,1
54,64,24462,17796,5145,4173,5467,3519,2654,470,1
77,48,13972,14130,2812,4750,25106,14322,5950,7176,1
66,47,335677,809767,91170,95154,52438,131730,113236,41792,1
44,64,628569,50236,1710,9554,35595,24493,8938,7852,1
53,53,31017,8083,3600,514,4104,1836,1793,1616,1
60,53,7474,8047,12358,15748,18121,5399,7767,1883,1
64,47,5978,24170,5722,12429,19710,10794,14815,2151,1
64,44,148649,69589,22179,13418,8295,17551,3635,3123,1
60,51,81334,12452,3009,11774,15442,10633,7697,4624,1
54,50,24878,22832,10883,1101,4466,4919,1543,817,1
14,13,991870,211246,5180,3569,4720,3952,7986,2624,1
24,24,276726,55809,3339,42528,6566,25821,7525,3859,1
38,64,899651,60402,20627,27100,26941,21004,22506,3727,1
43,63,1400882,120266,10669,28458,43663,17411,8713,8077,1
37,44,91260,28384,2998,809,6521,3636,1867,1734,1
50,51,28735,17104,10395,38317,25943,10569,9774,8159,1
50,50,249913,33588,7208,9819,4654,10488,7546,4029,1
54,54,141226,38104,16097,11888,36769,15291,7797,3311,1
64,81,30136,6741,4564,24403,10303,11192,6937,2497,1
75,74,4234,23959,7034,16639,12712,21495,8728,2701,1
44,53,73274,23853,8323,7558,8488,2574,4896,1139,1
47,64,38262,62522,27602,12052,21801,11158,4076,2286,1
40,53,581531,323403,6905,13514,44345,24831,20425,12468,1
60,40,1885188,62403,8145,13942,45385,47101,15801,6835,1
69,23,2716,14110,5743,4243,21611,17890,10490,3938,1
74,23,6067,15861,9673,10263,22815,5667,9243,3854,1
80,56,4219,15796,24945,19658,17520,8323,6093,3341,1
66,75,6017,26341,11202,17026,6364,7440,6771,3317,1
54,81,10931,30298,2865,15859,15391,10629,8763,2655,1
37,51,236627,70961,13376,4746,5066,5162,1045,1293,0
34,35,144793,52231,592,4807,3963,2859,1984,2129,0
27,37,391579,81641,8137,7259,4734,6298,5008,2758,0
41,48,122370,8457,5499,3898,3426,3900,1548,1408,0
47,43,27134,12602,6275,8171,17335,11258,4608,1904,0
70,64,4866,5770,13574,3655,6627,14654,7230,2333,0
81,63,96694,13273,848,2543,5395,3690,1625,582,0
64,51,585707,53809,8711,5343,10268,2570,4883,801,0
48,51,162579,32615,9253,5618,4134,2994,1460,632,0
34,38,2518161,683133,194634,30081,47502,73611,53554,14237,1
30,29,1991688,312279,7478,6166,15854,13539,7689,13705,1
38,41,182628,7339,3167,7489,3497,3049,4284,1141,1
29,30,167777,70089,6474,4295,7410,6941,2012,534,1
47,37,64253,20388,27586,9061,25921,24351,14247,7193,1
56,63,56127,37588,16402,14699,22532,9406,21019,4946,1
51,57,205929,7954,1447,2930,1137,1110,365,573,1
60,63,349403,26161,3587,4587,4244,7246,1785,560,1
53,63,4576,45511,21964,8854,5745,15840,12604,6398,1
66,61,193653,11748,6025,3289,1521,12853,1979,879,1
29,56,1673863,321758,32983,44315,26866,28612,26722,11296,1
27,56,1101994,544387,156642,57180,35851,41038,21363,16170,1
38,66,27709,9262,5044,12772,19719,5901,2958,1556,1
50,60,12578,14328,4249,18365,36566,17571,12373,7874,1
69,78,132772,16271,4792,3528,2946,3091,2157,1422,1
78,78,12341,6189,4970,8609,10009,12081,11033,10564,1
74,75,98970,33920,15382,11384,2618,6114,3865,3112,1
40,61,360910,57206,27955,28847,40645,45094,45460,12873,1
51,54,658730,96781,9953,16954,8340,24256,5114,4194,1
48,61,2115616,77360,56255,5554,19781,17196,10786,5483,1
35,57,1468206,130139,18332,11021,14841,12648,12857,5854,1
54,56,126511,14313,14183,1810,10177,11078,8020,8164,1
57,70,102273,69534,63569,25866,12781,25175,12671,3554,1
63,77,322461,107837,15495,34400,31897,20148,15928,4205,1
61,77,194379,17695,10480,5627,12162,10539,11801,4873,1
43,34,31485,12728,1060,1544,1362,3020,1680,588,1
48,24,1121673,245216,1882,21395,69877,35791,45381,26567,1
43,23,87593,624205,92637,14580,85576,97672,82616,50483,1
41,23,535559,184591,69022,20500,34664,50474,44655,6831,1
63,14,86024,28506,1297,4698,12848,23375,13659,3145,1
56,27,211235,65586,3015,14942,7965,4976,2382,1674,1
60,43,143943,34635,24635,9173,10762,12689,10951,9445,1
50,41,426907,280413,38018,44956,27813,23570,22622,5442,1
38,51,82473,66681,9979,10966,11988,15038,36537,15801,1
69,53,172698,51384,6469,8586,15052,10439,4996,1149,0
43,61,1311040,194047,38080,22369,12038,13451,9429,6777,0
38,69,67632,26088,1787,38856,17759,32110,20976,17907,0
60,81,6856,38980,23746,27937,11034,13200,13375,6037,0
74,83,17469,41001,11048,20576,12057,15944,3552,8960,0
63,90,15750,25920,8708,33113,10559,9590,8629,2453,0
53,83,168553,19221,9014,3070,2921,4582,4302,2541,0
57,75,26162,32309,5461,11312,6926,10112,3012,4101,0
50,64,335132,22042,2086,2974,2395,2619,1477,341,0
54,81,344636,78479,57195,69515,18465,25819,16633,3860,1
30,66,87153,10367,1240,1261,1566,754,1273,313,1
17,26,702615,133212,13703,14977,26204,12358,16145,15483,1
37,21,203822,43775,1917,7365,6859,9140,13373,1927,1
38,21,266240,214553,38898,13831,24322,20496,25353,7954,1
37,37,343403,42891,13156,6681,8657,5917,4728,2462,1
43,51,28955,17299,16262,12187,11022,8051,4634,2598,1
56,63,10688,13224,7393,10389,4890,25961,5425,2859,1
56,61,663238,195781,18076,17549,14353,16894,27752,4993,1

